Probeset,GeneSymbole,GeneID,hpBECs,hpBECs + HA,hCMEC/D3,hCMEC/D3 + HA
1007_s_at,DDR1,780,8.117925,8.14725,8.72605,8.804525
1053_at,RFC2,5982,6.7648,6.7845,8.786225,8.8074
117_at,HSPA6,3310,4.238675,4.2174,4.16785,4.159525
121_at,PAX8,7849,7.217175,7.1451,6.70535,6.802075
1255_g_at,GUCA1A,2978,2.34145,2.572425,2.396375,2.427225
1294_at,UBA7,7318,7.399475,7.25575,8.404375,7.9065
1316_at,THRA,7067,5.64975,5.50195,5.640275,5.730075
1320_at,PTPN21,11099,4.9293,4.822075,4.5154,4.60455
1405_i_at,CCL5,6352,3.388475,3.56335,10.657425,9.49565
1431_at,CYP2E1,1571,2.994475,3.042125,3.01755,2.99835
1438_at,EPHB3,2049,4.4895,4.616575,4.3447,4.355325
1487_at,ESRRA,2101,7.315725,7.30875,6.848675,6.84525
1494_f_at,CYP2A6,1548,5.129375,5.233125,5.023675,4.96565
1552256_a_at,SCARB1,949,6.93585,6.936125,7.258225,7.457075
1552257_a_at,TTLL12,23170,8.18545,8.26615,8.23005,8.2686
1552258_at,NCRNA00152,112597,5.532325,5.373425,5.1234,5.23495
1552261_at,WFDC2,10406,3.177075,3.2545,2.9686,3.27145
1552263_at,MAPK1,5594,7.44135,7.372025,6.910375,6.9183
1552264_a_at,MAPK1,5594,8.036375,7.99575,7.57445,7.5792
1552266_at,ADAM32,203102,2.292825,2.257325,2.129025,2.2233
1552269_at,SPATA17,128153,2.6184,2.555725,2.5934,2.5601
1552271_at,PRR22,163154,4.8013,4.939125,4.725575,4.764725
1552272_a_at,PRR22,163154,4.64295,4.523775,4.84505,4.780275
1552274_at,PXK,54899,6.57175,6.487625,7.363075,7.2462
1552275_s_at,PXK,54899,5.6518,5.59525,6.6903,6.593925
1552276_a_at,VPS18,57617,4.9914,4.886625,4.515825,4.60065
1552277_a_at,C9orf30,91283,9.4157,9.34255,9.044675,8.9715
1552278_a_at,SLC46A1,113235,3.492875,3.5761,3.56175,3.522075
1552279_a_at,SLC46A1,113235,5.0013,4.9365,5.055775,4.931675
1552280_at,TIMD4,91937,3.244425,3.2182,3.168525,3.189475
1552281_at,SLC39A5,283375,5.635225,5.569975,5.512725,5.527825
1552283_s_at,ZDHHC11,79844,3.2289,3.226175,4.53225,4.6421
1552286_at,ATP6V1E2,90423,5.10475,4.81205,5.31155,5.3241
1552287_s_at,AFG3L1,172,7.417025,7.373875,8.0346,7.979925
1552288_at,CILP2,148113,2.7306,2.64675,2.811475,2.846075
1552289_a_at,CILP2,148113,2.9743,2.98115,2.7877,2.90865
1552291_at,PIGX,54965,5.849425,5.6576,6.7975,6.86595
1552293_at,TMEM196,256130,3.968075,3.95965,4.0333,3.896025
1552295_a_at,SLC39A13,91252,6.943625,6.81055,6.359375,6.427575
1552296_at,BEST4,266675,3.386475,3.32885,3.219325,3.315825
1552299_at,AKD1,221264,3.8879,4.169025,4.75475,4.4476
1552301_a_at,CORO6,84940,5.7576,5.654275,5.549125,5.30365
1552302_at,TMEM106A,113277,5.526025,5.31055,4.964125,4.721675
1552303_a_at,TMEM106A,113277,6.15845,6.0942,5.875875,5.6586
1552304_at,ALG10,84920,3.175975,3.1064,4.37065,4.052675
1552306_at,ALG10,84920,4.253925,4.123425,5.7243,5.6123
1552307_a_at,TTC39C,125488,4.28955,4.333125,3.45165,3.471
1552309_a_at,NEXN,91624,8.862525,8.807775,8.395425,8.24055
1552310_at,C15orf40,123207,7.647225,7.5107,7.7244,7.730975
1552311_a_at,RAX2,84839,6.2585,6.31295,6.0495,6.118975
1552312_a_at,MFAP3,4238,6.18355,6.35485,6.681225,6.80905
1552314_a_at,EYA3,2140,5.21975,5.289,5.118225,5.144225
1552315_at,GIMAP1,170575,7.67535,7.6106,6.125325,6.002875
1552316_a_at,GIMAP1,170575,8.747875,8.5292,6.603225,6.485675
1552318_at,GIMAP1,170575,8.499,8.300275,6.424775,6.1604
1552319_a_at,KLK8,11202,3.7125,3.7962,3.5975,3.638875
1552320_a_at,CCDC65,85478,2.419225,2.54895,2.295225,2.36945
1552321_a_at,CCDC65,85478,2.48575,2.359075,2.4515,2.4182
1552322_at,FAM122C,159091,2.333575,2.25735,3.287525,3.1329
1552323_s_at,FAM122C,159091,3.50155,3.23985,5.374675,5.212925
1552325_at,CCDC11,220136,2.03335,2.008275,2.199725,2.3027
1552326_a_at,CCDC11,220136,3.095675,3.1428,3.00685,3.058975
1552327_at,NA,NA,4.7102,4.621975,4.833625,4.628575
1552329_at,RBBP6,5930,6.1321,6.0352,5.812025,5.734825
1552330_at,CENPBD1,92806,6.31005,6.186,5.696825,5.7411
1552332_at,TRIOBP,11078,7.027575,7.024125,7.273575,7.2558
1552334_at,TRIOBP,11078,6.92415,6.687025,6.850375,6.629
1552335_at,CATSPER1,117144,6.24735,6.067175,6.0586,6.075775
1552337_s_at,HOXD4,3233,5.2599,5.04455,3.178975,3.593025
1552338_at,GSC,145258,3.6597,3.527025,3.462475,3.56355
1552340_at,SP7,121340,3.455575,3.574725,3.560425,3.542675
1552343_s_at,PDE7A,5150,3.92235,4.0097,4.1099,4.037775
1552344_s_at,CNOT7,29883,7.95685,7.967525,7.2121,7.3753
1552347_at,CRYZL1,9946,7.48975,7.3704,7.202525,7.174025
1552348_at,PRSS33,260429,3.9668,4.03735,3.758275,3.927475
1552349_a_at,PRSS33,260429,4.022575,3.909275,3.817975,3.788075
1552354_at,C19orf26,255057,3.85265,4.01145,3.831775,3.806225
1552355_s_at,C19orf26,255057,4.5938,4.549375,4.600575,4.519675
1552359_at,C8orf45,157777,2.3245,2.150875,2.305825,2.26175
