Probeset	GeneSymbole	Signal
1007_s_at	DDR1	1696.363406
1053_at	RFC2	536.1724818
117_at	HSPA6	162.7998548
121_at	PAX8	478.7340614
1255_g_at	GUCA1A	4.995916499
1294_at	UBA7	416.507984
1316_at	THRA	104.7901874
1320_at	PTPN21	39.99966308
1405_i_at	CCL5	480.9786253
1431_at	CYP2E1	158.64996
1438_at	EPHB3	40.54430712
1487_at	ESRRA	2119.132093
1494_f_at	CYP2A6	128.8165685
1552256_a_at	SCARB1	627.9345273
1552257_a_at	TTLL12	704.4142284
1552258_at	NCRNA00152	70.77316929
1552261_at	WFDC2	100.3351365
1552263_at	MAPK1	107.5494012
1552264_a_at	MAPK1	359.0275847
1552266_at	ADAM32	10.61561345
1552269_at	SPATA17	22.01398534
1552271_at	PRR22	16.17162934
1552272_a_at	PRR22	47.20415081
1552274_at	PXK	372.370292
1552275_s_at	PXK	349.4608819
1552276_a_at	VPS18	9.294671328
1552277_a_at	C9orf30	956.8513557
1552278_a_at	SLC46A1	94.56943273
1552279_a_at	SLC46A1	264.8928941
1552280_at	TIMD4	924.1496937
1552281_at	SLC39A5	89.55352079
1552283_s_at	ZDHHC11	276.294905
1552286_at	ATP6V1E2	379.032397
1552287_s_at	AFG3L1	416.689568
1552288_at	CILP2	56.08585031
1552289_a_at	CILP2	19.99892722
1552291_at	PIGX	599.035071
1552293_at	TMEM196	73.68164898
1552295_a_at	SLC39A13	327.6299002
1552296_at	BEST4	12.63851305
1552299_at	AKD1	25.1139629
1552301_a_at	CORO6	5026.91147
1552302_at	TMEM106A	71.14996137
1552303_a_at	TMEM106A	273.190699
1552304_at	ALG10	39.46469501
1552306_at	ALG10	71.68737658
1552307_a_at	TTC39C	182.1295452
1552309_a_at	NEXN	10670.37338
1552310_at	C15orf40	449.274612
1552311_a_at	RAX2	257.6538925
1552312_a_at	MFAP3	163.9523904
1552314_a_at	EYA3	3.225417507
1552315_at	GIMAP1	289.6987357
1552316_a_at	GIMAP1	1104.163672
1552318_at	GIMAP1	1136.920303
1552319_a_at	KLK8	99.05666561
1552320_a_at	CCDC65	15.52880867
1552321_a_at	CCDC65	73.37628904
1552322_at	FAM122C	17.65709017
1552323_s_at	FAM122C	130.5373889
1552325_at	CCDC11	68.29906945
1552326_a_at	CCDC11	85.46445026
1552327_at	NA	55.35353328
1552329_at	RBBP6	318.3796402
1552330_at	CENPBD1	454.3580202
1552332_at	TRIOBP	186.1869027
1552334_at	TRIOBP	373.8165355
1552335_at	CATSPER1	74.57390697
1552337_s_at	HOXD4	6.415838422
1552338_at	GSC	12.56715545
1552340_at	SP7	8.224254107
1552343_s_at	PDE7A	854.2026338
1552344_s_at	CNOT7	747.9056154
1552347_at	CRYZL1	1402.741014
1552348_at	PRSS33	139.9695524
1552349_a_at	PRSS33	78.789924
1552354_at	C19orf26	30.44841939
1552355_s_at	C19orf26	9.62659595
1552359_at	C8orf45	64.75414078
1552360_a_at	TIRAP	196.4790185
1552362_a_at	LEAP2	260.8140014
1552364_s_at	MSI2	166.06387
1552365_at	SCIN	236.3346385
1552367_a_at	SCIN	178.787333
1552368_at	CTCFL	12.53206327
1552370_at	C4orf33	194.4045017
1552372_at	C4orf33	7.81765343
1552373_s_at	C4orf33	15.08798894
1552375_at	ZNF333	79.89596771
1552377_s_at	FAM18B2	251.804113
1552378_s_at	RDH10	37.11879393
1552379_at	RDH10	10.2335773
1552381_at	SFRS13B	15.71333438
1552383_at	FAM71A	231.1203068
1552384_a_at	FAM71A	101.6068929
1552386_at	GAPT	189.8806931
1552388_at	FLJ30901	119.1677598
1552389_at	C8orf47	25.70257758
1552390_a_at	C8orf47	59.24400073
1552391_at	C1orf65	9.349769951
1552393_at	ENTHD1	2.313259373
1552394_a_at	ENTHD1	2.27235718
1552395_at	TSSK3	21.76621589
1552396_at	NA	51.09402947
1552398_a_at	NA	118.8804831
1552399_a_at	BRF1	16.70139529
1552400_a_at	C15orf27	90.67115573
1552401_a_at	C21orf41	76.21757855
1552402_at	CALML6	345.1878641
1552405_at	NLRP5	14.34111332
1552408_at	ODF4	55.94275875
1552409_a_at	ODF4	56.18714044
1552410_at	CLEC4F	49.10613287
1552411_at	NA	15.29837106
1552412_a_at	NA	25.5204531
1552414_at	WFDC9	95.23630643
1552415_a_at	WFDC9	71.69368801
1552417_a_at	NEDD1	900.3092648
1552418_at	TTLL10	12.24015368
1552419_s_at	TTLL10	29.66671773
1552421_a_at	CALR3	17.08775536
1552422_at	C10orf25	30.30173131
1552423_at	ETV3	170.0692072
1552424_at	KLHL10	3.000617716
1552425_a_at	KLHL10	85.39552956
1552426_a_at	TM2D3	3153.840872
1552427_at	ZNF485	264.555501
1552430_at	WDR17	9.999708941
1552432_at	MFSD6L	18.62084104
1552436_a_at	CDH23	6.92492129
1552438_a_at	ANKAR	15.4222997
1552439_s_at	MEGF11	7.809284853
1552440_at	GPR182	45.80475423
1552445_a_at	ESX1	13.81876814
1552448_a_at	C8orf12	6.078370157
1552449_a_at	SCGB1C1	4.221136674
1552450_a_at	DNAJC5G	19.05897141
1552452_at	WDR88	4.297297041
1552453_a_at	WDR88	5.210917912
1552455_at	PRUNE2	112.3222983
1552456_a_at	MBD3L2	18.19117302
1552457_a_at	ADAMTSL1	10.580702
1552458_at	MBD3L1	5.505251593
1552459_a_at	MBD3L1	62.69634224
1552461_at	FAM46D	2.733089219
1552463_at	SERPINB11	57.76456517
1552466_x_at	NCRNA00161	3.000172966
1552467_at	DSCR10	101.4223905
1552468_a_at	DSCR10	90.39980326
1552470_a_at	ABHD11	120.9082617
1552472_a_at	ACAP2	121.0130801
1552473_at	GAMT	1027.40338
1552474_a_at	GAMT	3764.579969
1552476_s_at	PLCD3	871.0971213
1552477_a_at	IRF6	106.5779104
1552478_a_at	IRF6	6.867747547
1552480_s_at	PTPRC	2.265330103
1552481_s_at	MAN1A2	11.24123691
1552482_at	RAPH1	34.77930051
1552484_at	SMCR8	23.65134926
1552485_at	LACTB	309.2432588
1552486_s_at	LACTB	517.8917704
1552487_a_at	BNC1	1722.515311
1552489_s_at	MPP4	56.8855371
1552490_at	LACE1	97.49138339
1552491_at	IDI2	6979.472347
1552493_s_at	CYP11B1	17.74380837
1552494_at	TAF8	37.93168647
1552496_a_at	COBL	62.93826061
1552497_a_at	SLAMF6	274.9983248
1552498_at	ZSCAN20	157.6412506
1552499_a_at	ZSCAN20	9.108777625
1552501_a_at	GPBAR1	75.44984845
1552502_s_at	RHBDL2	83.70488882
1552503_at	FRAS1	12.45847641
1552504_a_at	BRSK1	150.780568
1552506_at	CRB2	12.75124134
1552507_at	KCNE4	20.36609267
1552508_at	KCNE4	65.60019739
1552509_a_at	CD300LG	1326.085295
1552510_at	SLC34A3	252.239943
1552511_a_at	CPA6	10.42730253
1552514_at	WBP2NL	29.60256995
1552515_at	HIPK1	53.346589
1552516_a_at	HIPK1	114.2065946
1552518_s_at	MTBP	6.902818756
1552519_at	ACVR1C	888.6036884
1552520_at	TMEM74	142.5906046
1552521_a_at	TMEM74	138.7443093
1552522_at	TIGD4	140.8626368
1552523_a_at	TIGD4	141.3619764
