"","affy_hg_u133_plus_2","hgnc_symbol"
"1","1553551_s_at","MT-ND1"
"2","1553551_s_at","MT-TI"
"3","1553551_s_at","MT-TM"
"4","1553551_s_at","MT-ND2"
"5","1553538_s_at","MT-CO1"
"6","1553570_x_at","MT-CO1"
"7","1553569_at","MT-CO1"
"8","1553570_x_at","MT-TD"
"9","1553569_at","MT-TD"
"10","1553567_s_at","MT-TD"
"11","1553570_x_at","MT-CO2"
"12","1553569_at","MT-CO2"
"13","1553567_s_at","MT-CO2"
"14","1553567_s_at","MT-TK"
"15","1553567_s_at","MT-ATP8"
"16","1553567_s_at","MT-ATP6"
"17","1553588_at","MT-ATP6"
"18","1553588_at","MT-CO3"
"19","1553588_at","MT-TG"
"20","1553588_at","MT-ND3"
"21","1553588_at","MT-TR"
"22","1553588_at","MT-ND4L"
"23","1555653_at","MT-ND5"
"24","1553575_at","MT-ND6"
"25","1553575_at","MT-TE"
"26","1556269_at","MYT1"
"27","1554445_at","ZNF85"
"28","1553474_at",""
"29","1555673_at","KRTAP2-3"
"30","1559039_at","DHX36"
"31","1554940_a_at","FAM230I"
"32","1556739_at","GOLGA8IP"
"33","1555164_at","KIF26B"
"34","1557293_at","MUC20-OT1"
"35","1557782_s_at","C21orf62-AS1"
"36","1557709_at",""
"37","1555580_at","LINC00824"
"38","1553521_at","DEFB104B"
"39","1553002_at","DEFB105B"
"40","1555807_a_at","MOG"
"41","1553582_a_at","SPAG11B"
"42","1553579_a_at","SPAG11B"
"43","1552411_at","DEFB106B"
"44","1552412_a_at","DEFB106B"
"45","1555643_s_at","LILRA5"
"46","1555634_a_at","LILRA5"
"47","1554503_a_at","OSCAR"
"48","1555515_a_at","FAM189B"
"49","1556445_at",""
"50","1556842_at",""
"51","1554703_at","ARHGEF10"
"52","1554213_at","ARHGEF10"
"53","1558420_at","C14orf180"
"54","1558421_a_at","C14orf180"
"55","1557981_at","RPS9"
"56","1553634_a_at","WEE2-AS1"
"57","1552930_at","MMEL1"
"58","1556213_a_at","BTG3-AS1"
"59","1555373_at",""
"60","1555822_at","FAM138D"
"61","1556872_s_at","IQSEC3"
"62","1553949_at",""
"63","1559036_at","C4B_2"
"64","1553561_at","TAS2R50"
"65","1559656_a_at",""
"66","1559655_at",""
"67","1558333_at","C22orf15"
"68","1558334_a_at","C22orf15"
"69","1559050_at","HCG27"
"70","1557679_at",""
"71","1554978_at",""
"72","1558540_s_at","SLC2A11"
"73","1552449_a_at","SCGB1C2"
"74","1554480_a_at","ARMC10"
"75","1553411_s_at","SALL3"
"76","1558967_s_at","HCG18"
"77","1558176_at","IGLV7-43"
"78","1554533_at","C2"
"79","1554594_at","ARHGAP27"
"80","1556316_s_at","MIF-AS1"
"81","1557089_at","KIF5C"
"82","1556474_a_at",""
"83","1556473_at",""
"84","1552480_s_at","PTPRC"
"85","1554589_at","LENG9"
"86","1555021_a_at","SCARF1"
"87","1553046_s_at","GAL3ST2"
"88","1559284_at",""
"89","1552973_at","WNT9B"
"90","1557275_a_at","TLCD2"
"91","1556986_at","OR2H1"
"92","1556987_s_at","OR2H1"
"93","1557261_at",""
"94","1559617_at",""
"95","1553474_at","POTEB3"
"96","1552991_at","OR5P2"
"97","1553078_at","OR5P3"
"98","1553079_at","TRIM40"
"99","1553534_at","NLRP10"
"100","1553132_a_at","TC2N"
"101","1558438_a_at","IGHEP1"
"102","1553542_at","CCDC125"
"103","1558438_a_at","IGHE"
"104","1556362_at",""
"105","1554400_at","DYNLT2"
"106","1554401_a_at","DYNLT2"
"107","1557945_at","DYNLT2"
"108","1552793_at","LINC02904"
"109","1555042_at","TRPV5"
"110","1553465_a_at","CES5A"
"111","1552717_s_at","CEP170"
"112","1559190_s_at","RDH13"
"113","1553399_a_at","LINC02210"
"114","1553400_a_at","LINC02210"
"115","1558611_at","LINC02210"
"116","1555203_s_at","SLC44A4"
"117","1553034_at","SDCCAG8"
"118","1554237_at","SDCCAG8"
"119","1557211_a_at","FAM181A-AS1"
"120","1556000_s_at","BTBD7"
"121","1555347_at",""
"122","1557068_at",""
"123","1553061_at","OR6W1P"
"124","1553061_at",""
"125","1553633_s_at","SLC9B1P1"
"126","1555852_at","PSMB8-AS1"
"127","1555853_at","PSMB8-AS1"
"128","1558275_at",""
"129","1554078_s_at","DNAJA3"
"130","1555347_at","PDXDC1"
"131","1553053_at","CCDC197"
"132","1558971_at","THEMIS"
"133","1558972_s_at","THEMIS"
"134","1555682_at","OTUB2"
"135","1552266_at","ADAM32"
"136","1558686_at","MPV17L"
"137","1559167_x_at","MPV17L"
"138","1555964_at",""
"139","1554245_x_at","ARL17B"
"140","1558697_a_at","MARF1"
"141","1555752_at","STH"
"142","1555155_at","MLLT6"
"143","1554487_a_at","ATF6B"
"144","1555565_s_at","TAPBP"
"145","1556677_at","ZFY-AS1"
"146","1552604_at","LINC00308"
"147","1552605_s_at","LINC00308"
"148","1554419_x_at","GGNBP2"
"149","1553048_a_at","PIP4K2B"
"150","1557918_s_at","SLC16A1"
"151","1553378_a_at","HEATR9"
"152","1558292_s_at","PIGW"
"153","1405_i_at","CCL5"
"154","1555759_a_at","CCL5"
"155","1554759_at","SRCIN1"
"156","1554125_a_at","NLGN4Y"
"157","1555444_a_at","PPP1R12BP1"
"158","1553165_at","SYNRG"
"159","1555743_s_at",""
"160","1559036_at","C4A"
"161","1552952_at",""
"162","1553486_a_at","C17orf78"
"163","1554886_a_at","MLXIP"
"164","1552841_s_at","BCL2L14"
"165","1559036_at","C4B"
"166","1554787_at","STKLD1"
"167","1555399_a_at","DUSP16"
"168","1007_s_at","DDR1"
"169","1553691_at","B3GALNT2"
"170","1555867_at","GNG4"
"171","1555765_a_at","GNG4"
"172","1556794_at",""
"173","1559471_s_at",""
"174","1559470_at",""
"175","1555401_at","SOHLH2"
"176","1557470_at",""
"177","1555188_at","MTUS2-AS1"
"178","1555716_a_at","CXADR"
"179","1559133_at","ZNF546"
"180","1559134_a_at","ZNF546"
"181","1554983_at","LINC00317"
"182","1553080_at","CSN1S2AP"
"183","1552466_x_at","LINC00161"
"184","1554405_a_at","LINC00161"
"185","1559603_at","GPR12"
"186","1554203_at","GRIK1-AS1"
"187","1555262_a_at","MAGI1"
"188","1553468_at","HYDIN"
"189","1554907_a_at","HYDIN"
"190","1554908_at","HYDIN"
"191","1555778_a_at","POSTN"
"192","1556414_at",""
"193","1553608_a_at","LINC00189"
"194","1553607_at","LINC00189"
"195","1553313_s_at","SLC5A3"
"196","1556884_a_at","LINC00558"
"197","1555994_at","DIAPH3-AS1"
"198","1555995_a_at","DIAPH3-AS1"
"199","1553141_at",""
